outcode,latitude,longitude
BN44,50.89093810606061,-0.3227151590909091
BN45,50.896638095238096,-0.19047121428571429
BN5,50.92736848797251,-0.2688451649484536
BN50,50.82633,-0.140791
BN51,50.80482,-0.05864500000000001
BN52,50.8344,-0.168035
BN6,50.93141195476576,-0.15530841195476575
BN7,50.87751533244681,-0.0011396449468085107
BN8,50.91703889534884,0.052733444767441864
BN88,50.8268425,-0.13919625
BN9,50.795641638554216,0.04987147469879518
BN91,100.0,0.0
BN95,50.82315,-0.330024
BN99,50.8233971714922,-0.34638165924276165
BR1,51.41202145007924,0.020925279714738513
BR2,51.387275830845766,0.02236641194029851
BR3,51.404488739054294,-0.03009079859894921
BR4,51.37497548387097,-0.008294712365591398
BR5,51.391693154506434,0.10337876824034335
BR6,51.365215065502184,0.09125035021834062
BR7,51.415006637744035,0.06534175704989154
BR8,51.39867244897959,0.17451876326530613
BS1,51.45324761845386,-2.593833470074813
BS10,51.50726725974026,-2.6109231363636365
BS11,51.497492980935874,-2.674736637781629
BS13,51.41204421733506,-2.611598108667529
BS14,51.412959889502766,-2.5634597776243093
BS15,51.45963704467354,-2.5068778651202748
BS16,51.486902113502936,-2.5095426159491194
BS2,51.45992610942249,-2.5819582234042553
BS20,51.480627851335655,-2.753657768873403
BS21,51.435052327586206,-2.8495895344827584
BS22,51.36107645877378,-2.929345341437632
BS23,51.34307883381924,-2.9720642186588924
BS24,51.33085728197674,-2.928159911337209
BS25,51.320111814946614,-2.8201943167259786
BS26,51.27887053097346,-2.8567693362831856
BS27,51.27271324503311,-2.7729392185430464
BS28,51.22603512315271,-2.815236438423645
BS29,51.33273172932331,-2.8790826691729325
BS3,51.43867023638232,-2.6031919023638235
BS30,51.44473977423638,-2.471274183266932
BS31,51.4088094622093,-2.492316129360465
BS32,51.54448843822844,-2.557429335664336
BS34,51.52305768805309,-2.565845863938053
BS35,51.597460870712396,-2.5488819683377306
BS36,51.525681751968506,-2.4864047972440946
BS37,51.5418950095057,-2.415017211977186
BS39,51.32816325878594,-2.533547694888179
BS4,51.435365077062556,-2.563816300090662
BS40,51.3465405409154,-2.6917322024965324
BS41,51.422047142857146,-2.6535957040816323
BS48,51.42499027486911,-2.747826870418848
BS49,51.38314034682081,-2.8122882514450867
BS5,51.46205562261268,-2.5517674163483575
BS6,51.47076414231258,-2.60041250952986
BS7,51.4870238071066,-2.581150945431472
BS8,51.45754319327731,-2.6222333217286917
BS9,51.48727875,-2.6267786621621623
BS98,51.45975,-2.588965
BS99,51.444599438202246,-2.5963398764044943
BT1,69.97088467713786,-3.921282092495637
BT10,55.412874178403754,-5.873090122065728
BT11,54.670307590618336,-5.9791690511727085
BT12,54.59288853080569,-5.958458638230648
BT13,55.32133614711034,-5.865544392294221
BT14,54.62141996855346,-5.962634094339623
BT15,54.84405803889789,-5.903182628849271
BT16,54.7035034079602,-5.782633114427861
BT17,54.7132672056239,-5.999011066783831
BT18,55.55995098734177,-5.703984506329114
BT19,54.75474738882554,-5.6544587069555305
BT2,54.99922616071429,-5.8775936875
BT20,57.138616199158484,-5.355696833099579
BT21,54.640381769547325,-5.54781070781893
BT22,54.735636085470084,-5.4866947008547005
BT23,55.661440503018106,-5.577226879275654
BT24,54.41717059642147,-5.871698153081511
BT25,54.395970569476084,-6.112698166287016
BT26,54.45432223880597,-6.06505555597015
BT27,54.66499356164384,-6.003068469178083
BT28,57.47706894784995,-5.691283778591034
BT29,54.741408453333335,-6.1803985306666664
BT3,54.61735602272727,-5.903862602272727
BT30,55.387678368794326,-5.570813921985816
BT31,54.27668729452055,-5.968397301369863
BT32,55.76444080272108,-6.050098629931973
BT33,54.3691952866242,-5.872379184713376
BT34,54.183026633597876,-6.1717232982804235
BT35,55.57364005392912,-6.24047494375963
BT36,56.30277055197792,-5.742707750689973
BT37,54.677480520134225,-5.908233780201343
BT38,56.10482736897275,-5.625296177148847
BT39,55.72453511591963,-5.8877070525502315
BT4,55.22925184049079,-5.788807417177914
BT40,55.93240894385027,-5.683623240641711
BT41,54.903805876777255,-6.232434473933649
BT42,56.72124768965517,-6.012807511494253
BT43,55.04218534482759,-6.234070601724138
BT44,54.97221410071943,-6.288371579856115
BT45,55.718798651252406,-6.498197066473988
BT46,55.0063333125,-6.6428577906249995
BT47,55.10907409295352,-7.192114311844078
BT48,55.1621663153457,-7.303120185497471
BT49,55.0469905338809,-6.950882593429158
BT5,56.751567766439905,-5.591465011337868
BT51,55.06017106748467,-6.682320251533743
BT52,58.07797948310139,-6.2186541769383705
BT53,55.203346784776905,-6.458303671916011
BT54,55.20437970588235,-6.256795801470588
BT55,55.1791112540193,-6.710214549839229
BT56,55.19762071129707,-6.650386414225941
BT57,55.20344955555555,-6.517762455555555
BT6,54.66097614973262,-5.887421276292335
BT60,54.29283053571429,-6.648852774159664
BT61,55.0341313125,-6.526241522916666
BT62,54.471474419817476,-6.457869900912647
BT63,54.49763789370079,-6.37839018503937
BT64,56.02229488372093,-6.132889093023255
BT65,55.273223,-6.250235990909091
BT66,54.630620179948586,-6.308559533419023
BT67,54.48682270916334,-6.266985294820717
BT68,54.3650906,-6.84851746
BT69,54.41996736263736,-6.950931901098901
BT7,54.814872230769225,-5.894160348717949
BT70,56.20358222882616,-6.63072890936107
BT71,54.51177527204503,-6.701670460600376
BT74,56.04020291933419,-7.380429449423815
BT75,54.3734343382353,-7.317119860294118
BT76,54.419867466666666,-7.19225812
BT77,54.4290636,-7.1182338000000005
BT78,55.67940617845118,-7.195861396464646
BT79,54.62151049303323,-7.197528515541265
BT8,54.53156333848531,-5.887650435857805
BT80,55.898898183139536,-6.558930065406977
BT81,54.69611456081081,-7.611003239864866
BT82,54.826453324022346,-7.4304608952513975
BT9,54.64708795918367,-5.934822727891157
BT92,54.223476682134574,-7.465408259087393
BT93,54.52023364705883,-7.813078203529412
BT94,54.426994242761694,-7.525350721603563
CA1,54.88580435103245,-2.911980696165192
CA10,54.61314127351664,-2.658984146164978
CA11,54.664609891794406,-2.784188739404869
CA12,54.60260257995736,-3.13475428358209
CA13,54.65992211382113,-3.368046843902439
CA14,54.63456693783576,-3.537913414428243
CA15,54.71221747826087,-3.48088372173913
CA16,54.574254473684206,-2.484576090225564
CA17,54.47993460869565,-2.350789895652174
CA18,54.3543212,-3.39109796
CA19,54.38716191176471,-3.3846361911764706
CA2,54.883866659685864,-2.9513623958115187
CA20,54.41059892857143,-3.4618082448979592
CA21,54.44544297297297,-3.5164228378378377
CA22,54.48054434456929,-3.533070531835206
CA23,54.51465246575342,-3.49522598630137
CA24,54.515468421052624,-3.5435980263157894
CA25,54.523144581497796,-3.5192049735682818
CA26,54.54450353448276,-3.4828385862068965
CA27,54.49101407407407,-3.593558814814815
CA28,54.54334308654849,-3.578567242961418
CA3,54.90991247672253,-2.940329070763501
CA4,54.84787953781513,-2.8317396596638655
CA5,54.85571590909091,-3.020743755681818
CA6,54.993274921568634,-2.8951582156862745
CA7,54.80759331973899,-3.239112460848287
CA8,54.939023300813005,-2.686905830894309
CA9,54.80082491525424,-2.4131398644067796
CA95,54.64468,-3.56645
CB1,52.19518852865697,0.141379125748503
CB10,52.02911645724259,0.262461647469459
CB11,51.99872489908257,0.2120851633027523
CB2,52.18530735945486,0.12302755195911415
CB21,52.1277554954955,0.2815029572072072
CB22,52.128913929765886,0.13556201672240803
CB23,52.215346568181815,-0.03350022954556818
CB24,52.279130704573554,0.08015895920889987
CB25,52.26142332541568,0.252898567695962
CB3,52.21317974937344,0.0980548947368421
CB4,52.223126179401994,0.1297834861572536
CB5,52.21264086642599,0.15662242599277978
CB6,52.4062973391494,0.22374479716466739
CB7,52.36023157394844,0.3267755617367707
CB8,52.23054017992424,0.42860731344696973
CB9,52.083662700119476,0.4396381266427718
CF10,51.474761962323385,-3.1732025211930925
CF11,51.472734180985114,-3.192322790378007
CF14,51.5200946434991,-3.2037272887956862
CF15,51.53302724609375,-3.27173062109375
CF23,51.51446819474836,-3.1553435153172864
CF24,51.48808382938389,-3.1619618995260663
CF3,51.52058780911062,-3.1113311822125818
CF30,51.51963,-3.119571
CF31,51.508909565217394,-3.5786733619817994
CF32,51.559712787500004,-3.58448469875
CF33,51.52564718446602,-3.694122158576052
CF34,51.61049575903614,-3.6520559325301205
CF35,51.5226452795031,-3.5257183643892342
CF36,51.48512233173077,-3.699351242788462
CF37,51.60326532731377,-3.334261480812641
CF38,51.560607305122495,-3.332807371937639
CF39,51.59952609403255,-3.4257412224231465
CF40,51.62036852083334,-3.45172143125
CF41,51.6473581124498,-3.4820288232931724
CF42,51.66749738709677,-3.5241866709677416
CF43,51.657632890625,-3.4505185546875
CF44,51.7182956003937,-3.458738404527559
CF45,51.66953121281465,-3.36213190617849
CF46,51.664714454022985,-3.300572798850575
CF47,51.7515591943128,-3.375010492890995
CF48,51.741773333333335,-3.3715900557768923
CF5,51.483211580041576,-3.2453671774081774
CF61,51.4084215720524,-3.481173751091703
CF62,51.40403941501104,-3.3116809922737307
CF63,51.41207111570248,-3.2574364276859504
CF64,51.43282005405405,-3.1923280421621625
CF71,51.46068266666667,-3.4596952561403507
CF72,51.52987685050798,-3.4043066763425256
CF81,51.702130673575134,-3.2447956191709846
CF82,51.65120926147705,-3.2381169221556885
CF83,51.58688538589212,-3.2188302680497927
CF91,51.46555333333333,-3.194022
CF95,51.4812,-3.1710480000000003
CF99,51.46376,-3.16231
CH1,53.20260687323943,-2.909744108920188
CH2,53.218077159624414,-2.868968941314554
CH25,53.397000588235294,-3.011859411764706
CH26,53.3657,-3.065906
CH27,53.41982818181818,-3.0370673636363636
CH28,53.40053,-3.1118970000000004
CH29,53.39017,-3.17943
CH3,53.16465703603604,-2.8196755126126125
CH30,53.37896,-3.098392
CH31,53.32968000000001,-3.098807
CH32,53.36198,-2.997605
CH33,53.29057,-3.062638
CH34,53.278883538461535,-2.9048673076923075
CH4,53.165450502183404,-2.947446167030568
CH41,53.39442611041405,-3.032923445420326
CH42,53.373794302325585,-3.022460799418605
CH43,53.38440425053533,-3.059637886509636
CH44,53.41531336351876,-3.0370311371280727
CH45,53.428985118733515,-3.051680377308707
CH46,53.40413846801347,-3.1108511666666665
CH47,53.39651402332362,-3.169180326530612
CH48,53.370158926441356,-3.1693222485089465
CH49,53.3810497473997,-3.1038968751857356
CH5,53.204402862098874,-3.0415156105810928
CH6,53.2493711011236,-3.144480058426966
CH60,53.32649399132321,-3.096071880694143
CH61,53.34911177033493,-3.1019761483253587
CH62,53.33419136419001,-2.9815385846528626
CH63,53.34427360874849,-3.012532715674362
CH64,53.28828169781931,-3.0475778006230527
CH65,53.27741671532847,-2.902003491484185
CH66,53.27759539939333,-2.9371790869565215
CH7,53.17007373820013,-3.13222345248584
CH70,53.19275813953488,-2.9225557906976745
CH8,53.282990958702065,-3.2463629218289083
CH88,53.19461,-2.874553
CH99,53.17638388888889,-2.8948663888888886
CM0,51.661728291814946,0.8330188914590747
CM1,51.74742196647325,0.4580514442295293
CM11,51.623423555555554,0.44629393777777776
CM12,51.62830394584139,0.4144603887814313
CM13,51.61508355206847,0.3382312282453638
CM14,51.618678285256415,0.2917300657051282
CM15,51.644507355932205,0.30350110508474576
CM16,51.700416377952756,0.12020989133858268
CM17,51.773482848948376,0.14631506118546847
CM18,51.75535004629629,0.10612588657407408
CM19,51.75941255696203,0.0711369417721519
CM2,51.72086534298781,0.48659797560975615
CM20,51.77556119565218,0.10245459782608696
CM21,51.812500747663556,0.14515285981308412
CM22,51.867372380952375,0.2280157509157509
CM23,51.872342350427346,0.15803205982905985
CM24,51.899326520146516,0.20375181684981686
CM3,51.72173059119497,0.5842456484276729
CM4,51.67530874715262,0.3896788656036446
CM5,51.722045803571426,0.2483207767857143
CM6,51.87827608205128,0.3656256369230769
CM7,51.89721942962963,0.5371104185185185
CM77,51.86604756521739,0.55323305
CM8,51.80613396946565,0.6371376488549618
CM9,51.74001514173998,0.6992786109481917
CM92,51.76936,0.06128
CM98,51.75210789473684,0.5184526315789474
CM99,51.7425,0.500627
CO1,51.88365566445183,0.8953917308970099
CO10,52.05858580895522,0.7214590680597015
CO11,51.94192235602094,1.0767121745200698
CO12,51.93109018691588,1.2523881043613707
CO13,51.83927116173121,1.23623184738041
CO14,51.85032012145749,1.2671864979757086
CO15,51.79641552785924,1.1549174479472142
CO16,51.82228572481572,1.1238031633906633
CO2,51.86951412076271,0.8939709205508475
CO3,51.884668208092485,0.8555174265895953
CO4,51.90925962184874,0.9191505294117646
CO5,51.815404948770485,0.8181188032786886
CO6,51.925029324191975,0.7910542242899119
CO7,51.882656323308275,1.0053139368421053
CO8,51.97342176,0.7661755920000001
CO9,51.96895141316074,0.6096106785329019
CR0,51.37324364452424,-0.07792221113105925
CR2,51.34782143430291,-0.08199336409227682
CR3,51.28837613695091,-0.08259928165374676
CR4,51.404403971397144,-0.15908763806380638
CR5,51.311007968750005,-0.14135788636363636
CR6,51.30938902723735,-0.05295566926070039
CR7,51.399295829228244,-0.10671641379310345
CR8,51.3318822625,-0.1143574375
CR9,51.37380766423358,-0.09854926277372263
CR90,51.37807,-0.113266
CT1,51.27752173361522,1.0858083911205074
CT10,51.36315286486486,1.4291623513513514
CT11,51.33601521990741,1.4133773148148148
CT12,51.34345057921636,1.3683457308347529
CT13,51.266021865284976,1.326492914507772
CT14,51.216707340696686,1.3853021520815634
CT15,51.17239943615257,1.2821471326699834
CT16,51.14304224270353,1.2990659293394777
CT17,51.12911869646182,1.2939243910614526
CT18,51.11569146067416,1.149096791011236
CT19,51.08909420560747,1.1678715732087228
CT2,51.29408814717477,1.080815643889619
CT20,51.07984359564165,1.1620849467312349
CT21,51.07224441087613,1.075224329305136
CT3,51.276514859693876,1.2104570548469389
CT4,51.2233737654321,1.0650681913580247
CT5,51.35332366225839,1.035087004069176
CT50,51.079916000000004,1.1430368000000002
CT6,51.36414956315289,1.1295056970560302
CT7,51.36999927536232,1.2954970531400967
CT8,51.379911435185186,1.3366133888888887
CT9,51.38267643572621,1.389195567612688
CV1,52.40938959317585,-1.506484284776903
CV10,52.52608705029014,-1.502609408123791
CV11,52.52015255543823,-1.4524110422386483
CV12,52.478902166666664,-1.4724852757575757
CV13,52.616339266304344,-1.4127329293478261
CV2,52.42459101132686,-1.4634312872168285
CV21,52.37698296969697,-1.250554716161616
CV22,52.35866661904762,-1.2778234535714286
CV23,52.36793204104902,-1.2787726545039908
CV3,52.39109369581191,-1.4780185848640706
CV31,52.2777833497537,-1.5244058743842364
CV32,52.29815893593919,-1.5312973474484257
CV33,52.25003446808511,-1.4892667963525836
CV34,52.28083764471057,-1.577017026946108
CV35,52.2221749795501,-1.5935260807770961
CV36,52.059206835748796,-1.6222781666666666
CV37,52.18147099121707,-1.7162209560853199
CV4,52.39712044313146,-1.5722883338257017
CV47,52.23466356697819,-1.3859332274143303
CV5,52.412771134593996,-1.5559226273637374
CV6,52.43437428571429,-1.5073293266233767
CV7,52.447221474773606,-1.5667769922380337
CV8,52.35189543256997,-1.5418733778625955
CV9,52.58640402332361,-1.5618839533527695
CW1,53.10382022978723,-2.4357987157446805
CW10,53.18859203539824,-2.4432968119469027
CW11,53.143308989037756,-2.3678453934226553
CW12,53.16643819219791,-2.2142258154138914
CW2,53.07939880654475,-2.4465241077959576
CW3,52.997667873563216,-2.407550135057471
CW4,53.20871898550725,-2.3559211710144927
CW5,53.06202154690619,-2.522572180638723
CW6,53.162138491921006,-2.6667406786355476
